D1,D2,D3,D4,D5
-0.21201,-0.29188000000000003,-0.67295,-0.19504000000000002,-0.006063399999999999
0.85191,-0.13990999999999998,-0.24839,-0.26876,-0.037078
0.26477,0.076076,0.40096,-0.34752,-0.064872
-1.2308,0.046623000000000005,0.80273,-0.41106000000000004,-0.091486
0.68922,0.0024715999999999996,0.95004,-0.4574,-0.11727
0.1596,-0.031863,0.72919,-0.48136,-0.14392
-0.63291,-0.047457,0.25239,-0.47251000000000004,-0.1696
0.67878,0.10828,-0.098522,-0.42532,-0.19078
-0.28365,0.20792,-0.38111999999999996,-0.32648,-0.20806999999999998
-0.11675,-0.08117200000000001,-0.5825,-0.16028,-0.22128
0.37901,-0.31606999999999996,-0.65371,0.053559,-0.23110999999999998
-0.35825,0.058376,-0.70338,0.28425,-0.24017
-0.075486,0.42435,-0.60518,0.5212399999999999,-0.24852
0.44649,0.070663,-0.21144000000000002,0.74087,-0.25659
-0.59762,-0.39642,0.28624,0.9452,-0.26571999999999996
0.55572,-0.39426,0.6646,1.1516,-0.27663000000000004
-0.08568,-0.14895999999999998,0.82634,1.3387,-0.29108
-0.26106,0.36855,0.56148,1.49,-0.31124
-0.11684,0.71203,0.071221,1.5952,-0.33542
0.49155,-0.024569999999999998,-0.25287,1.6315,-0.36083000000000004
-0.18453,-0.81358,-0.41891999999999996,1.5879,-0.38705
-0.2069,-0.23951,-0.31267,1.4544,-0.41228000000000004
0.061933,0.57306,-0.034831,1.2012,-0.43768
0.12186,0.49682,0.088886,0.7962600000000001,-0.4662
0.19758,0.11502000000000001,0.12583,0.21370999999999998,-0.4967
-0.39484,-0.43381000000000003,0.084553,-0.57922,-0.52869
0.0498,-0.8315100000000001,-0.030402,-1.4827,-0.5605899999999999
0.27119,-0.10885999999999998,-0.061068,-2.3389,-0.58877
-0.56187,0.75905,-0.055101,-3.0751,-0.6121
0.67822,0.36453,-0.060662,-3.5653,-0.62893
0.096207,-0.22614,-0.047775,-3.773,-0.63695
-0.51215,0.0034850000000000003,-0.048019,-3.7198,-0.63454
-0.69511,0.20722,-0.046060000000000004,-3.2707,-0.61861
1.7672,-0.14642,-0.0078867,-2.3029,-0.58562
-1.3537,-0.44397,0.039295,-1.0117,-0.5363600000000001
0.47002,-0.2758,0.072508,0.33237,-0.47268000000000004
-0.057438,0.038027,0.08767,1.5894,-0.39391
-0.22496,0.29386,0.064782,2.4947,-0.30086999999999997
0.92163,0.4352,0.020794,3.0703,-0.19077
-1.297,0.17151,-0.010062,3.4753,-0.058772000000000005
0.7727,-0.24836,-0.029797000000000004,3.4904,0.095331
-0.21722,-0.38133,-0.029818,2.9514,0.27258000000000004
0.029618,-0.1911,-0.0062185,2.0666,0.46671999999999997
-0.10765,0.53668,0.03092,1.0625,0.6665399999999999
0.68098,0.96395,0.09714600000000001,0.10493,0.86729
-1.1,-0.30721,0.2084,-0.49305,1.0611
0.62537,-1.5955,0.30982,-0.8392799999999999,1.2436
-0.1147,-0.6613399999999999,0.3274,-1.1955,1.4138
0.46883,0.74284,0.21998,-1.3687,1.5615
-0.8977,0.8564299999999999,-0.080808,-1.2573,1.6768
0.39897,0.59778,-0.46776999999999996,-0.9829899999999999,1.7624
0.13418,0.17382999999999998,-0.75264,-0.60135,1.8224
0.49618,-0.47846000000000005,-0.8948200000000001,-0.24755,1.8559999999999999
-0.92058,-0.64864,-0.79303,-0.15118,1.867
-0.19873,-0.41251000000000004,-0.50245,-0.18135,1.8463
1.2097,0.086996,-0.18999000000000002,-0.12326,1.7787
-0.88478,0.5553600000000001,0.19523,-0.063843,1.6636
0.22915,0.23735,0.6611100000000001,-0.0046707,1.4971
0.079334,-0.2395,1.0905,0.06775,1.2888
-0.17165,0.022928,1.3931,0.07538500000000001,1.0589
0.20055,0.27674,1.4269999999999998,0.088578,0.81301
-0.24449,-0.14583,0.99236,0.19564,0.56197
0.15484,-0.46857,0.29211,0.31906999999999996,0.31287
-0.14822,-0.003931800000000001,-0.34049,0.38329,0.066189
0.6193,0.4627,-0.86388,0.38463,-0.16176
-0.94804,0.12727,-1.1069,0.27629000000000004,-0.35412
0.52684,-0.31218,-1.1291,0.099854,-0.5202600000000001
-0.063088,-0.21097,-1.1703,-0.051041,-0.67392
0.10127,0.012449,-1.0905,-0.18634,-0.81724
-0.17118,0.16268,-0.79856,-0.29178000000000004,-0.9616299999999999
0.012489,0.2695,-0.38336,-0.35316,-1.094
0.28934,0.073063,0.13810999999999998,-0.39329000000000003,-1.1892
-0.66973,-0.20965999999999999,0.68381,-0.37553000000000003,-1.2511
0.90616,-0.19411,1.1061,-0.26019000000000003,-1.2779
-1.0486,-0.069176,1.3795,-0.091533,-1.2742
1.0393,0.032222,1.4755,0.07751,-1.2582
-0.51609,0.12571,1.2484,0.22436,-1.23
0.14408,0.055919,0.56114,0.29767,-1.1925
-0.60358,-0.010406,-0.33504,0.31121,-1.1546
0.95927,0.21133000000000002,-1.0643,0.30928,-1.1208
-0.57517,0.29985,-1.4683,0.25595,-1.103
-0.0084092,-0.26261999999999996,-1.2402,0.129,-1.1163
0.42538,-0.75376,-0.62525,-0.03637,-1.1481
-0.58346,-0.28443,-0.15184,-0.20986,-1.1785
0.56534,0.3843,0.24466999999999997,-0.35884,-1.2037
-0.36536,0.43606000000000006,0.46898,-0.4275,-1.2107
-0.15224,0.32885,0.51389,-0.43087,-1.207
0.56259,0.26759,0.61427,-0.40484000000000003,-1.2131
-0.42519,-0.0014371,0.57667,-0.31554,-1.2203
0.088299,-0.46062,0.20855,-0.14447000000000002,-1.2248
-0.14811,-0.71553,-0.25948000000000004,0.073778,-1.2271
0.15701,-0.27723000000000003,-0.60538,0.30584,-1.219
0.6627,0.37173,-0.70914,0.51685,-1.2029
-1.2401,0.5524100000000001,-0.31274,0.6490100000000001,-1.1825
0.43443,0.41958999999999996,0.31066,0.71535,-1.1484
0.40181,-0.081384,0.6672600000000001,0.75047,-1.091
-0.053388,-0.5796399999999999,0.74217,0.7169300000000001,-1.0054
-0.35363,-0.2276,0.3621,0.59235,-0.88264
0.0029426,0.32415,-0.26897,0.40905,-0.72849
0.36994,0.22516999999999998,-0.63025,0.19774,-0.55567
-0.48731,-0.013353,-0.74922,-0.010067,-0.36365
0.34829,-0.095023,-0.53756,-0.1596,-0.15669
0.33122,-0.18032,-0.09433899999999999,-0.26993,0.068106
-0.82384,-0.11007,0.19589,-0.38308000000000003,0.32083
0.41751,0.065313,0.39258000000000004,-0.46706000000000003,0.5972
0.089564,0.15929000000000001,0.49546,-0.50607,0.8943399999999999
0.043821,0.16029000000000002,0.46843,-0.51822,1.2063
-0.25858,-0.030311,0.44001,-0.51044,1.5197
-0.05753,-0.22499,0.30913,-0.50449,1.8293
0.37444,-0.081465,-0.040846,-0.53706,2.1277
-0.065542,0.13854,-0.43793999999999994,-0.5852,2.4055
-0.21429,0.1281,-0.69665,-0.61252,2.6556
-0.19976,0.019206,-0.71539,-0.63162,2.8653
0.5862,-0.1715,-0.29558,-0.64088,3.0202
-0.26308,-0.27046,0.30389,-0.63108,3.1225
-0.20207,0.10898,0.62636,-0.60553,3.1783
0.13069,0.44348999999999994,0.60893,-0.54593,3.1842
-0.06345,-0.0041135,0.041325,-0.42873999999999995,3.1422
0.65481,-0.40360999999999997,-0.76672,-0.26122,3.0403
-1.0302,0.22436,-1.159,-0.05242,2.858
0.60255,0.7300800000000001,-1.0847,0.20711,2.5931
-0.16638,-0.1557,-0.32227,0.51947,2.24
-0.21366,-1.1084,0.80086,0.8581200000000001,1.8159
0.34835,-0.72897,1.5095,1.1891,1.3546
0.65993,0.12276,1.7703,1.4842,0.8680899999999999
-1.2515,0.8586299999999999,1.3661,1.7017,0.37761999999999996
-0.22621,1.2594,0.50331,1.8327,-0.10505
1.563,0.33413000000000004,-0.15924000000000002,1.8807,-0.57915
-0.98518,-0.90065,-0.71555,1.8066,-1.0157
-0.0099379,-0.76793,-1.1282,1.5769,-1.3854
0.12891,-0.21706,-1.2974,1.234,-1.7017
0.015305,-0.056661,-1.3883,0.83749,-1.9845
0.38147,0.20745,-1.1561,0.41797,-2.2358
-0.54103,0.48238000000000003,-0.31404,0.036476999999999996,-2.4727
-0.26289,0.41193,0.7351,-0.32083,-2.6706
0.94255,-0.18587,1.4918,-0.70201,-2.7853
-0.87742,-0.68062,1.7453,-1.0604,-2.8203
0.48886,-0.11752,1.0518,-1.3643,-2.7695
0.10259,0.58633,-0.13096,-1.6257,-2.6448
-0.43945,0.26548,-0.91507,-1.8401,-2.4835
0.16377,-0.24064000000000002,-1.2896,-2.0173,-2.2885
0.27671,-0.23803000000000002,-0.9688200000000001,-2.1837,-2.07
-0.44736,-0.13617,-0.20763,-2.2941,-1.8434
0.42825,0.036927,0.21661999999999998,-2.2853,-1.6135
-0.62933,0.24656,0.44627,-2.1494,-1.4062
0.64551,0.13687,0.47151000000000004,-1.8592,-1.2514
0.23218,-0.069914,0.30008,-1.4480000000000002,-1.1245
-0.92268,-0.063176,0.30475,-0.99224,-0.98818
0.35704,-0.006949899999999999,0.34325,-0.5001899999999999,-0.83419
0.2285,0.036315,0.27447,-0.0015999,-0.63547
0.11818,-0.013269999999999999,0.17983,0.4902,-0.40942
-0.55323,-0.40636,0.00053341,0.99193,-0.19849
0.56225,-0.5655399999999999,-0.22928,1.4576,0.01344
-0.31899,0.35056,-0.41856000000000004,1.8411,0.23246999999999998
-0.042692,1.1823,-0.56496,2.1554,0.44855
0.30802,0.41503,-0.63479,2.4116,0.6667
-0.42296,-0.65617,-0.56012,2.6049,0.8738100000000001
0.30599,-0.62835,-0.28076999999999996,2.7496,1.0505
0.060444,-0.2683,0.098893,2.7989,1.2093
-0.44266,0.090903,0.41108,2.6807,1.3658
0.68971,0.48878,0.59938,2.3824,1.5173
-0.63288,0.32868,0.5453600000000001,1.8749,1.6694
0.47532,-0.13482,0.35258,1.2158,1.8077
-0.17474,-0.43206999999999995,0.2487,0.52056,1.9043
-0.73582,-0.43551000000000006,0.21019000000000002,-0.17956,1.9548
1.2285,0.33938,0.27816,-0.81924,1.9487
-0.42339,0.93599,0.38237,-1.3726,1.8784
-0.4391,-0.19435,0.31631,-1.857,1.7457
0.59844,-1.2462,0.095563,-2.1876,1.5351
-0.44296,0.061805,-0.29746999999999996,-2.2825,1.2311
-0.0035535,1.391,-0.7758,-2.2113,0.8608100000000001
0.35753,0.20087,-1.1184,-2.0667,0.46201000000000003
-0.089078,-1.1264,-1.2872,-1.8839,0.053784000000000005
-0.016697,-0.32666999999999996,-1.1998,-1.754,-0.32839
-0.51093,0.57736,-0.87213,-1.6238,-0.68242
0.9605,-0.056567,-0.43101999999999996,-1.3736,-1.0231
-1.2854,-0.60859,0.19254000000000002,-1.0548,-1.3178
1.1492,0.14006,1.0404,-0.68697,-1.5397
0.15319,0.90304,1.8613,-0.27235,-1.6982
-1.3026,0.63558,2.3545,0.13124,-1.8004
0.82197,-0.011876000000000001,2.2815,0.53584,-1.85
-0.086425,-0.7165199999999999,1.2798,0.9601299999999999,-1.8642
0.69513,-1.178,-0.18436,1.3427,-1.8142
-0.98875,-0.45438999999999996,-1.3015,1.6226,-1.6552
-0.49683,0.65899,-1.9296,1.7627,-1.386
1.9912,0.9139,-1.6479,1.7022,-0.9943299999999999
-2.1375,0.66827,-0.8164100000000001,1.4924,-0.50922
1.6874,-0.07192899999999999,-0.3287,1.2348,0.0072125
-1.5338,-0.84611,-0.059042,0.93774,0.5401
1.3401,-0.42405,-0.1066,0.64774,1.0584
-0.25712,0.26584,-0.35329,0.35149,1.5412
-0.57645,-0.020236,-0.21450999999999998,-0.017597,1.9879
-0.33455,-0.31176,0.16097,-0.41223999999999994,2.3513
1.1309,0.14993,0.67956,-0.79601,2.5827
-0.044592,0.5645899999999999,1.212,-1.1636,2.7088
-0.8786,0.36189,1.2998,-1.4771,2.7679
0.31754,-0.056604999999999996,0.85088,-1.7257,2.7661
0.47351,-0.46989,-0.27128,-1.9068,2.7356
-1.2428,-0.61438,-1.6236,-1.9599,2.6392
1.5195,0.1711,-2.3532,-1.8162,2.4056
-0.14049,0.92805,-2.1998,-1.4318,2.046
-0.98632,0.20164,-0.6682,-0.74451,1.5552
-0.26284,-0.8123100000000001,1.5283,0.13566,0.95895
1.451,-0.77657,2.9656,1.0194,0.3264
-0.31428,-0.22758,3.4759,1.8425,-0.33115
-0.90053,0.7984,2.4826,2.4749,-0.9897100000000001
0.37017,1.4545,0.56325,2.8961,-1.6158
0.38632,-0.081434,-0.7885800000000001,3.1659,-2.1941
-0.21434,-1.6440000000000001,-1.7074,3.1464,-2.6725
-0.25719,-0.20800000000000002,-1.9757,2.7159,-2.9918
0.37239,1.3729,-1.6924,2.0149,-3.1852
-0.39055,-0.0104,-1.6962,1.218,-3.3073
