D1,D2,D3,D4,D5
2.4732,-1.3312,-1.4380000000000002,-0.45701,-6.4888
-6.0601,0.47248999999999997,-1.2806,0.33814,-6.0057
5.5248,2.4976,-0.67328,1.3283,-5.4191
-3.8844,1.6851,-0.24705,2.3304,-4.721
3.1193,-0.35893,0.18285,3.1481,-3.9010000000000002
-1.9525,-1.8988,0.69899,3.4595,-2.9468
1.081,-1.9743,1.0841,3.3334,-1.8532
0.1721,2.2765,1.3209,2.9559,-0.61624
-4.6982,5.3466,1.1472,2.1199,0.77412
7.4978,-1.2894,0.18561,0.70195,2.3265
-3.1741,-8.5017,-1.0192,-1.0372,3.9947
-1.1344,-4.9377,-1.6792,-2.8076,5.711
-0.25362,1.7953,-1.5642,-4.3625,7.436
1.9836,5.2354,-0.13838,-5.291,9.107000000000001
-1.4254,7.2406,1.8011,-5.6444,10.702
0.088514,4.9673,2.7457,-5.6336,12.222999999999999
3.0755,-1.2203,2.4891,-4.9597,13.602
-4.2705,-8.0651,0.38477,-3.418,14.777999999999999
-0.36924,-10.729000000000001,-2.6376,-1.3629,15.755999999999998
4.5648,-0.63448,-4.5425,0.79237,16.547
-4.761,10.682,-5.1908,2.7384,17.139
4.139,5.6055,-3.9194,3.9339999999999997,17.547
-1.9566,-3.1258,-1.334,4.4723,17.707
1.2158,-2.2735,0.7469600000000001,4.6825,17.522000000000002
-7.9451,-0.10642,2.5774,4.1756,16.976
13.044,0.28187,4.0232,2.693,16.033
-6.8134,0.63683,4.8755,0.64818,14.753
0.86206,-2.4901,5.6845,-1.5153,13.27
-4.4351,-4.3563,5.8055,-3.4302,11.614
8.4259,2.9333,4.5088,-4.4531,9.8593
-7.397,8.6948,2.4429,-4.7412,8.0395
3.3498,-0.57628,0.27898,-4.73,6.1437
0.99869,-9.9347,-1.7564,-3.9951,4.2741
-2.7738,-2.0409,-3.0037,-2.2822,2.5339
5.7244,7.3369,-3.9219999999999997,-0.05621,0.85296
-4.4301,2.5639,-5.4769,2.2139,-0.8644200000000001
-9.8925,-3.5305,-7.4206,4.0871,-2.6432
19.38,-1.2087,-9.785,4.8206,-4.5698
-12.95,2.4034,-11.337,4.5739,-6.5655
4.0455,4.6134,-9.8645,3.7985,-8.4724
5.0427,4.3628,-4.5208,2.0056,-10.325999999999999
-8.0166,-4.3893,6.0498,-1.1014,-12.123
-6.7493,-13.642000000000001,17.832,-4.82,-13.823
17.5,-10.913,24.035999999999998,-8.3467,-15.436
-6.5846,-1.0025,22.17,-11.03,-16.904
-5.863,12.525,7.6716,-11.797,-18.147000000000002
7.733,22.849,-12.592,-10.72,-19.187
-4.5809,14.196,-25.594,-8.2822,-20.049
-3.0107,-5.0075,-29.247,-3.6682,-20.706
8.1355,-21.925,-17.548,3.7107,-21.159000000000002
-4.3554,-28.741,3.2123,12.47,-21.331999999999997
1.7818,-5.9486,17.925,20.842,-21.105
-3.4358,22.808000000000003,27.374000000000002,27.648000000000003,-20.435
5.7596,18.688,28.535,30.89,-19.253
-15.128,4.7686,21.933000000000003,30.56,-17.509
17.856,2.6673,15.365,27.48,-15.185
2.6317,-2.4145,4.3383,19.989,-12.196
-20.379,-12.770999999999999,-14.978,6.8017,-8.4592
13.986,-16.698,-34.866,-9.5105,-4.1818
-2.5253,-6.5544,-47.897,-25.631999999999998,0.32919
1.6232,7.1731,-48.055,-39.466,4.914
-3.1757,10.44,-25.124000000000002,-47.351000000000006,9.2945
-2.4159,9.9915,8.84,-49.437,13.413
9.509,10.729000000000001,33.111,-47.5,17.332
-3.3854,3.5121,45.005,-38.552,20.772
-3.2649,-17.783,34.696999999999996,-20.338,23.483
-15.318,-27.055999999999997,11.343,3.1854,25.531
24.307,11.115,-2.3037,27.149,26.979
8.9792,44.245,-8.7864,48.315,27.828000000000003
-35.384,1.2462,-5.092,60.935,28.191999999999997
28.561,-48.223,5.277,65.71600000000001,27.814
-7.6541,-24.175,6.7227,65.972,26.296
-25.438,15.958,2.6219,57.332,23.608
43.762,26.361,-5.4812,36.719,19.63
-25.738,25.21,-16.425,9.0352,14.642000000000001
3.332,0.0086216,-21.252,-20.191,9.2243
4.6379,-29.029,-20.339000000000002,-46.778,3.5343
-3.639,-13.036,-13.739,-63.3,-2.1132
-6.838,12.133,-2.8294,-71.34899999999999,-7.5304
16.2,3.5604,6.1593,-75.818,-12.722999999999999
-11.079,-6.7337,12.993,-71.59100000000001,-17.234
3.793,3.0434,16.579,-55.434,-20.6
-12.56,9.4805,16.653,-32.051,-23.075
18.97,-1.3025,15.808,-5.9686,-25.023000000000003
-0.85149,-10.499,11.884,18.45,-26.504
-12.897,-1.1797,2.8225,33.556999999999995,-27.835
-0.58904,9.4279,-7.7846,41.845,-28.651
15.804,3.9925,-16.02,49.041000000000004,-28.259
-17.256,-4.0213,-19.227999999999998,50.585,-26.765
10.236,-4.2147,-12.674000000000001,44.135,-24.112
1.5563,-3.0303,-1.0703,32.894,-20.489
-11.051,-1.237,7.0076,18.857,-16.477999999999998
16.493,1.8645,11.308,5.5893,-12.132
-16.651,2.5768,8.6909,-0.93845,-7.602
8.268,2.6521,1.7773,-3.5363,-3.1696
-1.0857,4.7146,-1.7006,-7.2016,1.0363
1.8857,3.6468,-3.3508,-9.1882,4.6026
-4.1929,-6.1651,-3.2221,-8.7732,7.042000000000001
5.7096,-13.097000000000001,-1.3413,-7.1582,8.6902
-5.5884,-1.7161,-1.3373,-3.8025,10.088
0.28283,11.244000000000002,-1.8425,-0.9202899999999999,11.31
3.2741,5.0071,-1.4412,-1.7537,12.717
1.5974,-4.4347,-1.0015,-4.2249,14.013
-6.7203,-2.3387,-0.059816999999999995,-5.5812,14.523
4.7867,0.5835199999999999,1.0734,-6.6399,14.446
-0.47562,-0.8084100000000001,1.5169,-6.9168,13.835
0.96622,-0.32466,1.7748,-6.5031,12.720999999999998
-1.4398,4.1443,2.3233,-6.7735,11.459000000000001
-7.473,5.746,2.975,-6.7299,10.004
13.503,-3.0403,3.8498,-5.3483,8.3141
-3.1687,-10.624,4.4201,-3.4142,6.6639
-5.6452,-1.7705,3.7283,-1.4288,5.2808
-0.063699,8.8747,1.4865,0.5323100000000001,4.3943
7.0144,4.6122,-2.8196,1.9180000000000001,4.3397
-9.1707,-3.1968,-7.6949,2.9515,4.8587
6.4397,-6.1072,-10.552999999999999,4.1751,5.4771
3.8717,-5.6823,-10.474,5.2472,6.1579
-11.9,3.8442,-5.7589999999999995,5.9777,6.6647
10.37,12.457,1.3756,6.3263,7.1389
-6.1102,2.3004,6.5409,5.9922,8.0045
4.086,-10.259,9.2701,4.9304,9.0789
-3.9532,-5.2928,7.7839,3.1317,10.26
2.9505,3.1342,3.6019,0.78408,11.561
-1.8519,3.9274,0.9526899999999999,-1.7035,12.806
6.2992,2.8072,-0.85849,-4.1295,14.022
-8.1328,-1.526,-1.5717,-6.1735,15.267000000000001
-3.4209,-5.6249,-1.2363,-7.7623,16.329
13.123,0.28618000000000005,-1.8926,-8.9872,16.988
-7.3426,6.6242,-2.5423,-9.4942,17.112000000000002
0.53991,0.76005,-2.2001,-8.9621,16.487000000000002
-3.1886,-6.334,-1.5537,-7.6951,15.232999999999999
6.9976,-3.8797,-0.63352,-6.0876,13.623
-9.2607,1.0395,0.29079,-4.325,11.633
10.313,4.4147,0.48376,-2.8299,9.3505
-3.8541,6.1399,0.34798,-1.3805,6.6834
0.35248,0.99608,0.45913999999999994,0.5272600000000001,3.3726
-12.347,-5.2269,0.5547,2.6506,-0.5058699999999999
20.259,-2.668,0.6222300000000001,4.8903,-4.913
-11.049,0.72405,0.77355,7.2232,-9.7345
-1.5232,-3.5469,0.91496,9.3862,-14.687999999999999
11.398,-5.412999999999999,1.2596,11.421,-19.678
-15.392,4.7234,2.0924,13.402000000000001,-24.566999999999997
8.1142,12.687000000000001,2.7997,15.038,-29.173000000000002
0.20617,2.2734,2.5418,16.04,-33.366
1.771,-10.062999999999999,0.9894700000000001,16.233,-36.888000000000005
-4.9511,-5.7979,-2.4899,15.335,-39.443000000000005
-2.4472,2.0372,-6.5972,13.559000000000001,-41.126000000000005
7.8617,3.188,-9.0797,11.344000000000001,-42.13
1.9726,2.9703,-9.3161,8.7117,-42.423
-11.229,0.005712699999999999,-5.9949,5.854,-42.103
6.4537,-3.5734,-0.54446,2.7039,-40.942
-0.3434,-0.25087,3.9354,-1.0399,-38.516999999999996
1.4338,3.7205,7.3851,-5.1775,-34.836999999999996
-3.6354,0.4485,8.8591,-9.5547,-29.83
5.0712,-3.9699,8.8215,-14.027000000000001,-23.750999999999998
-3.3801,-4.4748,9.3841,-18.25,-17.154
-2.6962,-2.4201,9.6855,-22.069000000000003,-10.199
6.1153,3.9609,9.2018,-25.309,-3.1863
-7.8351,9.5115,7.8199,-27.629,3.6642
4.874,4.6149,4.3944,-28.701999999999998,10.297
10.551,-3.9432,-1.0390000000000001,-28.151,16.252
-20.352,-7.7082,-8.3442,-25.53,21.046999999999997
11.296,-7.5407,-16.535999999999998,-21.285,24.925
1.4061,0.21899999999999997,-23.660999999999998,-16.209,28.264
-8.1476,8.8924,-28.73,-10.505,31.101999999999997
9.6672,5.2495,-30.266,-4.7151,33.733000000000004
-6.4935,-1.1719,-27.144000000000002,1.2755,35.78
0.75126,0.77509,-18.68,8.003,36.525999999999996
2.5027,2.2933,-2.7119999999999997,14.974,36.062
-3.03,-2.6027,23.05,21.814,34.321
10.689,-8.4657,50.549,28.274,31.5
-13.367,-12.597999999999999,67.914,33.753,28.203000000000003
-8.9812,-8.9903,69.044,37.981,24.49
25.644,13.725,43.698,40.702,20.529
-8.6045,32.247,3.7237,41.173,16.602999999999998
-9.1868,12.204,-28.325,38.61,12.831
4.5112,-17.077,-50.306000000000004,32.328,9.6463
5.9885,-20.297,-52.812,21.463,7.5576
-11.684,-13.450999999999999,-41.141000000000005,7.6637,6.1959
11.71,-1.7269999999999999,-33.408,-6.3526,4.9776
-7.5919,13.397,-23.318,-19.53,3.8059
1.7564,13.468,-8.3141,-29.833000000000002,2.2806
7.5591,4.6746,6.8281,-36.939,0.70814
-13.556,-3.3089999999999997,23.669,-41.659,-0.19875
8.2437,-9.5238,35.524,-41.883,-0.66659
-1.7161,-3.4801,32.727,-35.757,-0.7619600000000001
4.2867,4.825,21.916,-25.589000000000002,-0.48189
-6.4518,-2.2246,11.865,-14.322000000000001,-0.14797000000000002
0.041937,-8.3023,1.7797,-3.5415,0.3179
5.8529,3.9517,-4.6553,3.5658,1.0141
-5.1158,14.725999999999999,-8.0886,7.8877,1.6618
1.4801,4.1708,-13.443,12.082,2.0134
2.1911,-9.2378,-16.21,13.922,1.8797
-5.1693,-7.5573,-12.335,12.03,0.95373
7.1883,-1.9194,-5.5459,8.0556,-0.49887
-7.5341,1.7322,1.0331,3.154,-1.9846
5.9077,4.9455,5.9289,-1.1141,-3.4599
-2.4102,1.3722,5.2218,-1.9685,-4.6906
-0.43627,-3.1972,1.6306,-0.8118,-5.774
2.0542,1.797,0.48986999999999997,-0.20561999999999997,-7.0796
-8.5604,5.7860000000000005,0.41663999999999995,1.0991,-8.4024
11.702,-2.9444,1.6614,3.3796,-9.6055
1.7665,-9.9629,3.6967,6.0056,-10.783
-11.955,0.28081999999999996,3.3276,9.2359,-11.898
0.46223,10.397,1.3359,11.94,-13.032
11.381,1.3483,-1.6597,12.507,-14.34
-8.0793,-8.6815,-5.0601,11.800999999999998,-15.644
1.2128,-1.6441,-6.5208,10.952,-16.708
1.4765,6.1579999999999995,-5.3935,9.4733,-17.515
-0.55457,0.92716,-0.78804,7.4793,-17.962
-1.169,-4.125,5.2953,5.1461,-18.119
3.0563,1.1206,8.8699,2.2176,-18.194000000000003
-9.283,5.3337,9.0167,-0.68437,-18.153
11.619,-1.0236,3.7056,-2.7873,-18.012
-1.8609,-6.7538,-4.2218,-4.396,-17.778
-6.3127,-0.86729,-8.814,-5.8382,-17.359
5.6774,5.6109,-9.6232,-6.8233,-16.817999999999998
-1.9451,1.8016,-4.5924,-7.3117,-16.222
-5.1856,-3.4484,3.4898,-7.5147,-15.515999999999998
7.5759,-3.0593,7.8447,-7.5901,-14.663
1.788,-1.1676,8.451,-7.8914,-13.642999999999999
-11.015,1.6248,3.7172,-8.9325,-12.398
12.354,4.6231,-3.9745,-10.55,-10.98
-8.5958,3.5886,-8.0412,-12.432,-9.4756
3.1857,-0.25554,-8.6164,-14.864,-7.8763
2.744,-5.1152,-4.5087,-17.982,-6.1997
-9.4579,-7.0619,2.351,-21.138,-4.4326
12.042,1.5867,6.1108,-23.54,-2.515
-9.6029,9.9377,6.9704,-24.561999999999998,-0.46108999999999994
4.6995,1.9674,4.0548,-23.230999999999998,1.7238
5.5727,-7.5183,-1.2453,-19.467,4.0472
-13.492,-1.6777,-4.1891,-13.520999999999999,6.4925
6.4377,5.1567,-5.1237,-4.5797,9.0734
1.6976,0.5677,-3.6123,8.0069,11.808
9.2264,-5.2357,-0.081523,22.537,14.625
-17.199,-5.7547,2.6278,36.686,17.425
-2.6435,-3.2769,5.2478,49.048,20.156
19.191,4.7945,8.2309,57.251999999999995,22.73
-7.4785,13.044,10.081,61.067,25.122
-5.879,10.798,9.9946,61.26,27.34
6.6285,1.1598,6.4231,55.681000000000004,29.299
-1.5999,-13.094000000000001,-2.9119,42.559,30.921999999999997
-11.27,-21.842,-14.185,24.607,32.196
17.451,-5.403,-21.546999999999997,5.3736,33.094
-4.0969,15.970999999999998,-23.145,-13.072000000000001,33.589
-9.4734,12.979000000000001,-15.012,-26.87,33.677
10.987,1.8561,-1.4463,-36.592,33.266999999999996
-6.7481,-4.9036,8.6679,-44.733999999999995,32.246
-0.1835,-9.6143,15.138,-48.31100000000001,30.568
5.6652,-1.5748,15.159,-45.221000000000004,28.166999999999998
-6.0867,9.6665,10.549000000000001,-37.902,25.169
5.4818,5.6975,8.0485,-28.715,21.808000000000003
-5.9111,-2.1572,5.6102,-19.701,18.162
5.1455,-3.6816,2.3929,-14.713,14.39
-6.1586,-4.9813,-0.48177,-12.027999999999999,10.547
6.1754,-6.167000000000001,-4.5421,-8.0561,6.5983
4.6228,-2.5831,-7.9552,-4.8694,2.7381
-12.059,8.1409,-8.1473,-3.2882,-0.8497100000000001
-1.8824,14.292,-6.3674,-2.3231,-4.2615
14.297,-0.9537399999999999,-3.6795,-2.1852,-7.6212
-1.5673,-16.541,0.4371,-1.4343,-10.957
-13.522,-4.2456,5.5583,2.191,-14.395999999999999
5.5025,11.922,10.129,7.0836,-17.778
3.4823,6.7977,12.379000000000001,11.026,-20.814
12.668,-2.2113,10.139,14.509,-23.533
-25.421,-4.2917,0.48894,17.063,-25.897
7.9919,-5.3764,-12.353,18.692999999999998,-27.906
8.8647,-2.1637,-21.489,20.412,-29.693
-3.8409,3.6355,-25.32,21.399,-31.206
-5.2244,4.9815,-19.816,20.837,-32.407
10.229,2.3974,-8.3634,19.121,-33.351
-8.4005,-5.2425,0.9586899999999999,16.355,-34.054
-3.8089,-10.052,9.1525,12.475999999999999,-34.57
13.711,2.3129,15.050999999999998,7.7341,-34.986999999999995
-14.206,14.944,18.576,2.3515,-35.141999999999996
9.2151,4.9684,23.372,-3.3936,-34.794000000000004
1.4344,-9.0631,26.846999999999998,-8.9787,-33.859
-12.653,-8.2773,26.447,-13.77,-32.171
13.516,-3.5168,22.348000000000003,-17.575,-29.726
-13.319,0.9996,13.100999999999999,-20.26,-26.636999999999997
28.738,6.4739,-2.0806,-21.219,-22.756999999999998
-36.746,5.9411,-23.377,-19.904,-17.974
15.376,3.2885,-45.052,-16.894000000000002,-12.535
5.2946,5.4689,-58.18,-13.078,-6.7438
-7.1236,4.8199,-57.395,-8.8351,-0.80694
5.5589,-6.1278,-34.55,-4.9933,4.9233
1.0317,-20.199,0.20339000000000002,-1.2394,10.43
